ID,ID_old,dep_time,weight,density,a,b,c,sphericity,shields
216,0756B6,230.44027777777777,735,2.63,104,92,59,0.79,8.28
217,0756EC,230.44027777777777,550,2.56,99,78,64,0.8,6.69
218,0756B5,230.44027777777777,690,2.48,117,88,57,0.72,7.18
219,0756FA,230.44027777777777,693,2.79,117,90,58,0.73,8.89
220,0756DA,230.44027777777777,748,2.64,140,87,51,0.61,7.87
221,073FAE,231.50694444444446,472,2.5,97,70,66,0.79,5.77
222,073FC7,231.50694444444446,383,2.57,110,72,54,0.68,6.23
223,073FE2,231.50694444444446,517,2.84,110,84,53,0.72,8.52
224,073FD5,231.50694444444446,357,2.53,103,60,53,0.67,5.06
225,073FA0,231.50694444444446,348,2.43,80,75,61,0.89,5.92
226,073FD8,231.50694444444446,421,2.23,96,90,56,0.82,6.09
227,073FA8,231.5090277777778,655,2.75,105,68,51,0.68,6.56
228,073F98,231.5090277777778,169,2.19,65,47,43,0.78,3.09
229,073FA2,231.5090277777778,522,2.64,96,64,57,0.73,5.77
230,073FA3,231.5090277777778,431,2.66,94,72,61,0.79,6.59
231,073FAB,231.5090277777778,468,2.63,97,61,54,0.7,5.47
232,073FD7,231.5090277777778,464,2.42,104,75,63,0.76,5.85
233,073FE5,231.51180555555555,365,2.45,80,78,54,0.87,6.23
234,073FF3,231.51180555555555,375,2.6,90,75,52,0.78,6.63
235,073FF2,231.51180555555555,413,2.52,89,66,46,0.73,5.52
236,0745B6,231.51180555555555,560,2.71,102,70,48,0.69,6.58
237,073FA7,231.51180555555555,399,2.85,106,56,54,0.65,5.71
238,073F93,231.51180555555555,414,2.64,87,74,61,0.84,6.67
239,073FAA,231.51388888888889,285,2.38,100,60,56,0.7,4.54
240,073F9D,231.51388888888889,544,2.76,97,69,64,0.78,6.69
241,073FBE,231.51388888888889,438,2.5,101,66,64,0.75,5.46
242,073FF4,231.51388888888889,299,2.56,79,63,57,0.83,5.4
243,073FB6,231.51388888888889,259,2.64,86,58,56,0.76,5.25
244,075150,234.41180555555556,582,2.51,96,68,49,0.71,5.65
245,0754C3,234.41180555555556,894,2.61,127,73,42,0.57,6.49
246,075173,234.41180555555556,1216,2.52,122,93,74,0.77,7.77
247,07512E,234.41180555555556,1325,2.64,199,74,62,0.49,6.7
248,075702,234.41319444444446,838,2.46,145,58,61,0.55,4.68
249,07516D,234.41319444444446,916,2.44,122,80,77,0.75,6.36
250,075192,234.41319444444446,855,2.44,92,109,54,0.89,8.66
251,07512C,234.41319444444446,788,2.64,115,77,78,0.77,6.94
252,075198,234.41319444444446,741,2.61,103,90,56,0.78,7.98
253,0756C9,234.4152777777778,831,2.6,132,65,65,0.62,5.72
254,0750E0,234.4152777777778,724,2.53,101,84,60,0.79,7.09
255,075149,234.4152777777778,558,2.66,97,80,63,0.81,7.3
256,075132,234.4152777777778,526,2.63,97,70,64,0.78,6.28
257,0750FC,234.4152777777778,759,2.56,110,81,57,0.73,6.94
258,075110,234.41666666666666,857,2.81,104,63,54,0.68,6.28
259,075147,234.41666666666666,708,2.53,128,70,68,0.66,5.89
260,07511A,234.41666666666666,851,2.66,142,78,56,0.6,7.13
261,07514B,234.41666666666666,442,2.76,93,73,48,0.74,7.09
262,07516E,234.41666666666666,799,2.66,120,64,59,0.64,5.86
263,0754D1,234.41666666666666,698,2.49,110,68,63,0.71,5.59
264,0756D5,234.41875,664,2.89,97,90,47,0.77,9.35
265,075186,234.41875,576,2.62,125,68,47,0.59,6.06
266,0756D3,234.41875,611,2.55,105,87,51,0.74,7.41
267,0750F0,234.41875,955,2.65,127,81,68,0.7,7.37
268,075175,234.41875,409,2.41,98,80,70,0.84,6.19
269,0756B3,243.5625,735,2.63,107,89,69,0.81,8.01
270,07513F,243.5625,595,2.78,123,76,44,0.6,7.45
271,075143,243.5625,658,2.62,115,77,55,0.68,6.88
272,075167,243.5625,596,2.7,84,83,58,0.88,7.76
273,075176,243.5625,946,2.67,128,96,47,0.65,8.84
274,07515D,243.56458333333333,734,2.59,97,79,68,0.83,6.93
275,07513B,243.56458333333333,1093,2.73,121,95,73,0.78,9.07
276,07517A,243.56458333333333,823,2.83,130,74,56,0.63,7.45
277,07517B,243.56458333333333,681,2.58,93,85,70,0.88,7.4
278,075140,243.56458333333333,1232,2.29,157,70,53,0.53,4.99
279,075164,243.5659722222222,764,2.64,153,67,50,0.52,6.07
280,0756C8,243.5659722222222,556,2.4,105,93,63,0.81,7.15
281,0750F3,243.5659722222222,1079,2.75,170,73,50,0.5,7.05
282,07515E,243.5659722222222,1180,2.53,150,100,73,0.69,8.44
283,0756C4,243.5659722222222,725,2.47,106,77,57,0.73,6.22
284,075710,243.5673611111111,731,2.48,125,74,47,0.61,6.02
285,07516B,243.5673611111111,676,2.7,110,105,51,0.76,9.85
286,0750F5,243.5673611111111,559,2.64,123,84,42,0.62,7.57
287,075183,243.5673611111111,891,2.59,139,85,54,0.62,7.44
288,0750D4,243.5673611111111,969,2.62,127,77,67,0.68,6.87
289,07512D,243.56875,610,2.44,110,92,58,0.76,7.3
290,07518C,243.56875,1087,2.74,155,105,75,0.69,10.05
291,075117,243.56875,636,2.4,140,73,45,0.55,5.63
292,0756CD,243.56875,511,2.38,146,77,40,0.52,5.84
293,0756C5,243.56875,735,2.37,133,90,57,0.66,6.8
294,07511F,243.57083333333333,696,2.38,92,87,67,0.88,6.63
295,0756DB,243.57083333333333,363,2.17,93,80,44,0.74,5.17
296,0756C7,243.57083333333333,575,2.34,110,105,44,0.73,7.73
297,0750FD,243.57083333333333,1496,2.77,160,75,77,0.61,7.31
298,075101,243.57083333333333,620,2.55,104,80,57,0.75,6.84
299,0750DD,243.57152777777776,515,2.51,95,77,75,0.86,6.41
300,0750D7,243.57152777777776,633,2.62,120,77,59,0.68,6.85
301,0756F9,243.57152777777776,381,2.72,91,67,59,0.78,6.35
302,0750E8,243.57152777777776,445,2.45,109,72,42,0.63,5.73
303,073FC9,245.5388888888889,248,2.38,77,53,46,0.74,4.04
304,073FCE,245.5388888888889,335,2.96,97,60,53,0.7,6.49
305,073FC0,245.5388888888889,307,2.56,78,62,67,0.88,5.32
306,073FE9,245.5388888888889,420,2.66,97,80,51,0.76,7.31
307,073FDC,245.5388888888889,387,2.5,113,54,54,0.61,4.45
308,073FF1,245.5388888888889,396,2.69,79,70,64,0.9,6.53
309,073FA4,245.5402777777778,165,2.5,67,48,48,0.8,3.97
310,073F99,245.5402777777778,384,2.56,85,70,60,0.83,6.01
311,073FD6,245.5402777777778,534,2.51,108,67,60,0.7,5.56
312,07457A,245.5402777777778,475,2.54,109,69,64,0.72,5.85
313,073FC6,245.5402777777778,277,2.43,64,63,53,0.93,4.96
314,073FB5,245.5402777777778,354,2.46,80,76,54,0.86,6.1
315,073FE6,245.5402777777778,418,2.53,90,62,60,0.77,5.24
316,073FD1,245.5402777777778,197,2.4,76,54,46,0.75,4.17
317,073FD0,245.5423611111111,465,2.61,103,75,55,0.73,6.66
318,0745A5,245.5423611111111,604,2.63,122,77,62,0.68,6.9
319,073FE3,245.5423611111111,324,2.44,75,65,47,0.82,5.14
320,0745AC,245.5423611111111,320,2.37,73,70,64,0.94,5.28
321,073FD2,245.5423611111111,364,2.64,86,65,60,0.81,5.86
322,073BF1,245.5423611111111,400,2.68,85,63,57,0.79,5.85
323,073BFA,245.5423611111111,NA,NA,NA,NA,NA,NA,NA
324,073F94,245.5423611111111,450,2.59,102,60,60,0.7,5.24
